-- Quest name updates from pfQuest-epoch
-- Generated on 2025-09-02 22:48:28.191584

-- [26332] = "[Epoch] Quest 26332" -> "Plundering Pirates"
-- [26577] = "[Epoch] Quest 26577" -> "A Fine Potion"
-- [26940] = "[Epoch] Quest 26940" -> "Reclaim the Mine"
-- [26941] = "[Epoch] Quest 26941" -> "Scarlet Intelligence"
-- [26982] = "[Epoch] Quest 26982" -> "Last Day of School"
-- [26983] = "[Epoch] Quest 26983" -> "Invitation for Tirion Fordring"
-- [26984] = "[Epoch] Quest 26984" -> "Field Trip"
-- [26991] = "[Epoch] Quest 26991" -> "Riverpaw Rampage"
-- [26992] = "[Epoch] Quest 26992" -> "Riverpaw Rampage"
-- [27136] = "[Epoch] Quest 27136" -> "The Horizon Scout"
-- [27408] = "[Epoch] Quest 27408" -> "Tinkering in the Vale"
